"id","page_name","title","description_text","created_At"
"1","Test","Test","test","2025-08-02 22:52:53+00"
"2","AboutUs","header","At our core, we prioritize pushing boundaries, embracing the unknown, and fostering a culture of continuous learning.","2025-08-02 23:00:17+00"
"3","AboutUs","about_text","FGEN (Future Generation) is dedicated to enlightening the next generation about the marvels of the human brain. Our mission is to cultivate a deep understanding and appreciation of neuroscience among young minds, empowering them to become informed, compassionate leaders. By providing accessible education, fostering curiosity, and promoting awareness, we aim to inspire future generations to leverage their knowledge of the brain to innovate, lead with empathy, and create a brighter, more informed world. Through FGEN, we are committed to nurturing a community where the study of the brain ignites a passion for lifelong learning and leadership.","2025-08-02 23:00:43+00"
"4","AboutUs","vision","Our vision is to create a better world where everyone has access to the resources they need to thrive.","2025-08-02 23:01:20+00"
"5","AboutUs","mission","Our mission is to empower individuals through education, support, and community-driven initiatives.","2025-08-02 23:02:06+00"
"6","AboutUs_Impact","successstory","5","2025-08-02 23:02:41+00"
"7","AboutUs_Impact","casestudy","10","2025-08-02 23:03:25+00"
"8","AboutUs_Impact","satisfied_clients","100","2025-08-02 23:03:50+00"
"9","GetInvolved","benefit_1","Provides educational enrichment for your students, which aligns with STEM initiatives.","2025-08-02 23:04:05+00"
"10","GetInvolved","Benefit_2","Provides outreach opportunities for university students and faculty, helps inspire the next generation of scientists.","2025-08-02 23:05:03+00"
"11","GetInvolved","Benefit_3","Expands your program offerings, and increases impact in the community.","2025-08-02 23:05:26+00"
"12","GetInvolved","Benefit_4","Enhances your corporate social responsibility profile, and fosters community goodwill.","2025-08-02 23:05:44+00"
"13","GetInvolved","Benefit_5","Promotes health literacy, and supports your mission of community health education.","2025-08-02 23:06:04+00"
"14","GetInvolved_Impact","Impact_1","Through your donations we'll be able to provide students access to colouring sheets, brain fact sheets and goody bags!","2025-08-02 23:06:33+00"
"15","GetInvolved_Impact","Impact_2","Through your donations we'll be able to further incorporate more neuroscience resources for students!","2025-08-02 23:06:53+00"
